Naive,32,0.480446,0.368960,0.675126
Naive,48,0.498784,0.409710,0.607409
Naive,64,0.559054,0.460414,0.666622
Naive,128,0.550527,0.442358,0.666540
Naive,238,0.534031,0.433050,0.629827
Naive,512,0.542428,0.454600,0.643237
Naive,1024,0.642017,0.539522,0.734995
Transpose,32,0.267543,0.252171,0.376889
Transpose,48,0.329958,0.285559,0.462254
Transpose,64,0.321654,0.278672,0.464702
Transpose,128,0.323457,0.279520,0.407367
Transpose,238,0.326183,0.282048,0.484366
Transpose,512,0.322581,0.279703,0.475493
Transpose,1024,0.284164,0.279975,0.303359
Shmem,32,0.198702,0.180856,0.342882
Shmem,48,0.211487,0.180454,0.281804
Shmem,64,0.259834,0.214140,0.338674
Shmem,128,0.221225,0.218832,0.234888
Shmem,238,0.274094,0.231961,0.398335
Shmem,512,0.220463,0.217522,0.232483
Shmem,1024,0.258759,0.218650,0.317774
All_GPU,32,0.110574,0.042205,0.168651
All_GPU,48,0.053654,0.043426,0.047811
All_GPU,64,0.076244,0.068908,0.073276
All_GPU,128,0.086110,0.079238,0.082693
All_GPU,238,0.103662,0.094027,0.097225
All_GPU,512,0.086545,0.079654,0.083079
All_GPU,1024,0.089366,0.079803,0.083166
Naive,32,0.470381,0.373046,0.573203
Naive,48,0.509453,0.409497,0.611763
Naive,64,0.546035,0.446440,0.641123
Naive,128,0.564462,0.466006,0.659393
Naive,238,0.533312,0.440888,0.629495
Naive,512,0.554375,0.460162,0.652875
Naive,1024,0.646600,0.543105,0.725827
Naive,32,0.454300,0.375235,0.568435
Naive,48,0.512476,0.410592,0.618452
Naive,64,0.559490,0.462039,0.667675
Naive,128,0.565118,0.462684,0.716784
Naive,238,0.535795,0.448877,0.624462
Naive,512,0.558688,0.460088,0.664799
Naive,1024,0.646327,0.546277,0.726984
Transpose,32,0.302908,0.251473,0.367070
Transpose,48,0.328534,0.284686,0.469933
Transpose,64,0.282141,0.278326,0.290620
Transpose,128,0.325129,0.281959,0.479093
Transpose,238,0.285072,0.279604,0.299956
Transpose,512,0.281900,0.278113,0.294366
Transpose,1024,0.282905,0.278520,0.297257
Shmem,32,0.222870,0.180171,0.278309
Shmem,48,0.184576,0.181663,0.198304
Shmem,64,0.208575,0.205401,0.223347
Shmem,128,0.220695,0.218287,0.234081
Shmem,238,0.234576,0.231814,0.249768
Shmem,512,0.262272,0.219577,0.319297
Shmem,1024,0.260294,0.218834,0.317826
All_GPU,32,0.048974,0.042209,0.045526
All_GPU,48,0.052886,0.043309,0.046639
All_GPU,64,0.079309,0.069608,0.073148
All_GPU,128,0.089091,0.079283,0.082709
All_GPU,238,0.103562,0.093823,0.097321
All_GPU,512,0.086585,0.079698,0.082992
All_GPU,1024,0.089618,0.079852,0.083324
All_GPU,32,0.089202,0.042167,0.125616
All_GPU,48,0.050339,0.043266,0.046963
All_GPU,64,0.076529,0.069798,0.072721
All_GPU,128,0.086224,0.079319,0.082637
All_GPU,238,0.100882,0.093956,0.097443
All_GPU,512,0.086706,0.079812,0.083224
All_GPU,1024,0.086988,0.079916,0.083680
All_GPU,32,0.076549,0.037637,0.402096
All_GPU,48,0.043900,0.038957,0.047424
All_GPU,64,0.061911,0.059343,0.068475
All_GPU,128,0.082259,0.080838,0.084247
All_GPU,238,0.097878,0.095601,0.100327
All_GPU,512,0.082672,0.081191,0.084608
All_GPU,1024,0.083275,0.081209,0.085088
All_GPU,32,0.635659,0.042199,1.212780
All_GPU,48,0.053496,0.043329,0.047490
All_GPU,64,0.079224,0.069442,0.073047
All_GPU,128,0.107721,0.079326,0.119795
All_GPU,238,0.100673,0.093878,0.097217
All_GPU,512,0.089465,0.079768,0.083083
All_GPU,1024,0.086516,0.079843,0.082795
All_GPU,32,0.051775,0.037591,0.140204
All_GPU,48,0.042208,0.037976,0.047274
All_GPU,64,0.062896,0.058593,0.068953
All_GPU,128,0.082292,0.080839,0.084260
All_GPU,238,0.097163,0.095747,0.099010
All_GPU,512,0.082614,0.081124,0.084794
All_GPU,1024,0.083242,0.081220,0.084747
